2026-06-22 11:48:21,556 [DATA] Data pipeline started — ['BTC/USDT', 'ETH/USDT'] ['15m', '1h', '4h', '1d'] every 300s
2026-06-22 11:48:21,556 [DATA] === Historical backfill check ===
2026-06-22 11:48:21,558 [DATA]   BTC/USDT 15m: 35040 bars in DB (>=28032) → OK
2026-06-22 11:48:21,559 [DATA]   BTC/USDT 1h: 8760 bars in DB (>=7008) → OK
2026-06-22 11:48:21,559 [DATA]   BTC/USDT 4h: 2190 bars in DB (>=1752) → OK
2026-06-22 11:48:21,560 [DATA]   BTC/USDT 1d: 365 bars in DB (>=292) → OK
2026-06-22 11:48:21,561 [DATA]   ETH/USDT 15m: 35040 bars in DB (>=28032) → OK
2026-06-22 11:48:21,562 [DATA]   ETH/USDT 1h: 8760 bars in DB (>=7008) → OK
2026-06-22 11:48:21,562 [DATA]   ETH/USDT 4h: 2190 bars in DB (>=1752) → OK
2026-06-22 11:48:21,562 [DATA]   ETH/USDT 1d: 365 bars in DB (>=292) → OK
2026-06-22 11:48:21,562 [DATA] === Historical backfill done ===
2026-06-22 11:48:22,981 [DATA] Tick: {'BTC/USDT_15m': 300, 'BTC/USDT_1h': 300, 'BTC/USDT_4h': 300, 'BTC/USDT_1d': 300, 'ETH/USDT_15m': 300, 'ETH/USDT_1h': 300, 'ETH/USDT_4h': 300, 'ETH/USDT_1d': 300}
2026-06-22 11:53:35,290 [DATA] Tick: {'BTC/USDT_15m': 300, 'BTC/USDT_1h': 300, 'BTC/USDT_4h': 300, 'BTC/USDT_1d': 300, 'ETH/USDT_15m': 300, 'ETH/USDT_1h': 300, 'ETH/USDT_4h': 300, 'ETH/USDT_1d': 300}
2026-06-22 11:58:47,820 [DATA] Tick: {'BTC/USDT_15m': 300, 'BTC/USDT_1h': 300, 'BTC/USDT_4h': 300, 'BTC/USDT_1d': 300, 'ETH/USDT_15m': 300, 'ETH/USDT_1h': 300, 'ETH/USDT_4h': 300, 'ETH/USDT_1d': 300}
2026-06-22 12:04:00,496 [DATA] Tick: {'BTC/USDT_15m': 300, 'BTC/USDT_1h': 300, 'BTC/USDT_4h': 300, 'BTC/USDT_1d': 300, 'ETH/USDT_15m': 300, 'ETH/USDT_1h': 300, 'ETH/USDT_4h': 300, 'ETH/USDT_1d': 300}
2026-06-22 12:09:14,195 [DATA] Tick: {'BTC/USDT_15m': 300, 'BTC/USDT_1h': 300, 'BTC/USDT_4h': 300, 'BTC/USDT_1d': 300, 'ETH/USDT_15m': 300, 'ETH/USDT_1h': 300, 'ETH/USDT_4h': 300, 'ETH/USDT_1d': 300}
2026-06-22 12:14:28,764 [DATA] Tick: {'BTC/USDT_15m': 300, 'BTC/USDT_1h': 300, 'BTC/USDT_4h': 300, 'BTC/USDT_1d': 300, 'ETH/USDT_15m': 300, 'ETH/USDT_1h': 300, 'ETH/USDT_4h': 300, 'ETH/USDT_1d': 300}
2026-06-22 12:19:42,413 [DATA] Tick: {'BTC/USDT_15m': 300, 'BTC/USDT_1h': 300, 'BTC/USDT_4h': 300, 'BTC/USDT_1d': 300, 'ETH/USDT_15m': 300, 'ETH/USDT_1h': 300, 'ETH/USDT_4h': 300, 'ETH/USDT_1d': 300}
2026-06-22 12:24:56,288 [DATA] Tick: {'BTC/USDT_15m': 300, 'BTC/USDT_1h': 300, 'BTC/USDT_4h': 300, 'BTC/USDT_1d': 300, 'ETH/USDT_15m': 300, 'ETH/USDT_1h': 300, 'ETH/USDT_4h': 300, 'ETH/USDT_1d': 300}
2026-06-22 12:30:11,275 [DATA] Tick: {'BTC/USDT_15m': 300, 'BTC/USDT_1h': 300, 'BTC/USDT_4h': 300, 'BTC/USDT_1d': 300, 'ETH/USDT_15m': 300, 'ETH/USDT_1h': 300, 'ETH/USDT_4h': 300, 'ETH/USDT_1d': 300}
2026-06-22 12:35:24,770 [DATA] Tick: {'BTC/USDT_15m': 300, 'BTC/USDT_1h': 300, 'BTC/USDT_4h': 300, 'BTC/USDT_1d': 300, 'ETH/USDT_15m': 300, 'ETH/USDT_1h': 300, 'ETH/USDT_4h': 300, 'ETH/USDT_1d': 300}
2026-06-22 12:40:38,386 [DATA] Tick: {'BTC/USDT_15m': 300, 'BTC/USDT_1h': 300, 'BTC/USDT_4h': 300, 'BTC/USDT_1d': 300, 'ETH/USDT_15m': 300, 'ETH/USDT_1h': 300, 'ETH/USDT_4h': 300, 'ETH/USDT_1d': 300}
2026-06-22 12:45:51,955 [DATA] Tick: {'BTC/USDT_15m': 300, 'BTC/USDT_1h': 300, 'BTC/USDT_4h': 300, 'BTC/USDT_1d': 300, 'ETH/USDT_15m': 300, 'ETH/USDT_1h': 300, 'ETH/USDT_4h': 300, 'ETH/USDT_1d': 300}
2026-06-22 12:51:06,733 [DATA] Tick: {'BTC/USDT_15m': 300, 'BTC/USDT_1h': 300, 'BTC/USDT_4h': 300, 'BTC/USDT_1d': 300, 'ETH/USDT_15m': 300, 'ETH/USDT_1h': 300, 'ETH/USDT_4h': 300, 'ETH/USDT_1d': 300}
2026-06-22 12:56:20,138 [DATA] Tick: {'BTC/USDT_15m': 300, 'BTC/USDT_1h': 300, 'BTC/USDT_4h': 300, 'BTC/USDT_1d': 300, 'ETH/USDT_15m': 300, 'ETH/USDT_1h': 300, 'ETH/USDT_4h': 300, 'ETH/USDT_1d': 300}
2026-06-22 13:01:32,204 [DATA] Tick: {'BTC/USDT_15m': 300, 'BTC/USDT_1h': 300, 'BTC/USDT_4h': 300, 'BTC/USDT_1d': 300, 'ETH/USDT_15m': 300, 'ETH/USDT_1h': 300, 'ETH/USDT_4h': 300, 'ETH/USDT_1d': 300}
2026-06-22 13:06:40,562 [DATA] Tick: {'BTC/USDT_15m': 300, 'BTC/USDT_1h': 300, 'BTC/USDT_4h': 300, 'BTC/USDT_1d': 300, 'ETH/USDT_15m': 300, 'ETH/USDT_1h': 300, 'ETH/USDT_4h': 300, 'ETH/USDT_1d': 300}
2026-06-22 13:11:49,374 [DATA] Tick: {'BTC/USDT_15m': 300, 'BTC/USDT_1h': 300, 'BTC/USDT_4h': 300, 'BTC/USDT_1d': 300, 'ETH/USDT_15m': 300, 'ETH/USDT_1h': 300, 'ETH/USDT_4h': 300, 'ETH/USDT_1d': 300}
2026-06-22 13:16:58,604 [DATA] Tick: {'BTC/USDT_15m': 300, 'BTC/USDT_1h': 300, 'BTC/USDT_4h': 300, 'BTC/USDT_1d': 300, 'ETH/USDT_15m': 300, 'ETH/USDT_1h': 300, 'ETH/USDT_4h': 300, 'ETH/USDT_1d': 300}
2026-06-22 13:22:09,998 [DATA] Tick: {'BTC/USDT_15m': 300, 'BTC/USDT_1h': 300, 'BTC/USDT_4h': 300, 'BTC/USDT_1d': 300, 'ETH/USDT_15m': 300, 'ETH/USDT_1h': 300, 'ETH/USDT_4h': 300, 'ETH/USDT_1d': 300}
2026-06-22 13:27:21,151 [DATA] Tick: {'BTC/USDT_15m': 300, 'BTC/USDT_1h': 300, 'BTC/USDT_4h': 300, 'BTC/USDT_1d': 300, 'ETH/USDT_15m': 300, 'ETH/USDT_1h': 300, 'ETH/USDT_4h': 300, 'ETH/USDT_1d': 300}
